latitude,longitude
33.719059,72.973307
33.719059,72.984134
33.719059,72.99496
33.719059,73.005787
33.719059,73.016614
33.719059,73.027441
33.719059,73.038267
33.719059,73.049094
33.719059,73.059921
33.719059,73.070748
33.719059,73.081574
33.719059,73.092401
33.719059,73.103228
33.719059,73.114055
33.719059,73.124881
33.719059,73.135708
33.719059,73.146535
33.728064,72.93
33.728064,72.940828
33.728064,72.951656
33.728064,72.962484
33.728064,72.973312
33.728064,72.984139
33.728064,72.994967
33.728064,73.005795
33.728064,73.016623
33.728064,73.027451
33.728064,73.038279
33.728064,73.049107
33.728064,73.059935
33.728064,73.070762
33.728064,73.08159
33.728064,73.092418
33.728064,73.103246
33.728064,73.114074
33.728064,73.124902
33.728064,73.13573
33.728064,73.146558
33.73707,72.93
33.73707,72.940829
33.73707,72.951658
33.73707,72.962487
33.73707,72.973316
33.73707,72.984145
33.73707,72.994974
33.73707,73.005803
33.73707,73.016632
33.73707,73.027461
33.73707,73.03829
33.73707,73.049119
33.73707,73.059948
33.73707,73.070777
33.73707,73.081606
33.73707,73.092435
33.73707,73.103264
33.73707,73.114093
33.73707,73.124922
33.73707,73.135751
33.73707,73.14658
33.51,73.0
33.51,73.010801
33.51,73.021601
33.51,73.032402
33.51,73.043202
33.51,73.054003
33.51,73.064803
33.51,73.075604
33.51,73.086404
33.51,73.097205
33.51,73.108005
33.51,73.118806
33.51,73.129606
33.51,73.140407
33.51,73.151207
33.51,73.162008
33.51,73.172808
33.519005,73.0
33.519005,73.010802
33.519005,73.021603
33.519005,73.032405
33.519005,73.043207
33.519005,73.054008
33.519005,73.06481
33.519005,73.075611
33.519005,73.086413
33.519005,73.097215
33.519005,73.108016
33.519005,73.118818
33.519005,73.12962
33.519005,73.140421
33.519005,73.151223
33.519005,73.162025
33.519005,73.172826
33.528011,73.0
33.528011,73.010803
33.528011,73.021606
33.528011,73.032408
33.528011,73.043211
33.528011,73.054014
33.528011,73.064817
33.528011,73.075619
33.528011,73.086422
33.528011,73.097225
33.528011,73.108028
33.528011,73.11883
33.528011,73.129633
33.528011,73.140436
33.528011,73.151239
33.528011,73.162042
33.528011,73.172844
33.537016,73.0
33.537016,73.010804
33.537016,73.021608
33.537016,73.032412
33.537016,73.043216
33.537016,73.054019
33.537016,73.064823
33.537016,73.075627
33.537016,73.086431
33.537016,73.097235
33.537016,73.108039
33.537016,73.118843
33.537016,73.129647
33.537016,73.140451
33.537016,73.151254
33.537016,73.162058
33.537016,73.172862
33.546021,73.0
33.546021,73.010805
33.546021,73.02161
33.546021,73.032415
33.546021,73.04322
33.546021,73.054025
33.546021,73.06483
33.546021,73.075635
33.546021,73.08644
33.546021,73.097245
33.546021,73.10805
33.546021,73.118855
33.546021,73.12966
33.546021,73.140465
33.546021,73.15127
33.546021,73.162075
33.546021,73.17288
33.555027,73.0
33.555027,73.010806
33.555027,73.021612
33.555027,73.032418
33.555027,73.043225
33.555027,73.054031
33.555027,73.064837
33.555027,73.075643
33.555027,73.086449
33.555027,73.097255
33.555027,73.108061
33.555027,73.118868
33.555027,73.129674
33.555027,73.14048
33.555027,73.151286
33.555027,73.162092
33.555027,73.172898
33.564032,73.0
33.564032,73.010807
33.564032,73.021615
33.564032,73.032422
33.564032,73.043229
33.564032,73.054036
33.564032,73.064844
33.564032,73.075651
33.564032,73.086458
33.564032,73.097265
33.564032,73.108073
33.564032,73.11888
33.564032,73.129687
33.564032,73.140495
33.564032,73.151302
33.564032,73.162109
33.564032,73.172916
33.573038,73.0
33.573038,73.010808
33.573038,73.021617
33.573038,73.032425
33.573038,73.043234
33.573038,73.054042
33.573038,73.06485
33.573038,73.075659
33.573038,73.086467
33.573038,73.097276
33.573038,73.108084
33.573038,73.118892
33.573038,73.129701
33.573038,73.140509
33.573038,73.151318
33.573038,73.162126
33.573038,73.172934
33.582043,73.0
33.582043,73.01081
33.582043,73.021619
33.582043,73.032429
33.582043,73.043238
33.582043,73.054048
33.582043,73.064857
33.582043,73.075667
33.582043,73.086476
33.582043,73.097286
33.582043,73.108095
33.582043,73.118905
33.582043,73.129714
33.582043,73.140524
33.582043,73.151333
33.582043,73.162143
33.582043,73.172952
33.591048,73.0
33.591048,73.010811
33.591048,73.021621
33.591048,73.032432
33.591048,73.043243
33.591048,73.054053
33.591048,73.064864
33.591048,73.075675
33.591048,73.086485
33.591048,73.097296
33.591048,73.108107
33.591048,73.118917
33.591048,73.129728
33.591048,73.140539
33.591048,73.151349
33.591048,73.16216
33.591048,73.17297
33.600054,73.0
33.600054,73.010812
33.600054,73.021624
33.600054,73.032435
33.600054,73.043247
33.600054,73.054059
33.600054,73.064871
33.600054,73.075682
33.600054,73.086494
33.600054,73.097306
33.600054,73.108118
33.600054,73.11893
33.600054,73.129741
33.600054,73.140553
33.600054,73.151365
33.600054,73.162177
33.600054,73.172989
33.609059,73.0
33.609059,73.010813
33.609059,73.021626
33.609059,73.032439
33.609059,73.043252
33.609059,73.054065
33.609059,73.064877
33.609059,73.07569
33.609059,73.086503
33.609059,73.097316
33.609059,73.108129
33.609059,73.118942
33.609059,73.129755
33.609059,73.140568
33.609059,73.151381
33.609059,73.162194
33.609059,73.173007
33.618064,73.0
33.618064,73.010814
33.618064,73.021628
33.618064,73.032442
33.618064,73.043256
33.618064,73.05407
33.618064,73.064884
33.618064,73.075698
33.618064,73.086512
33.618064,73.097326
33.618064,73.10814
33.618064,73.118954
33.618064,73.129769
33.618064,73.140583
33.618064,73.151397
33.618064,73.162211
33.618064,73.173025
33.62707,73.0
33.62707,73.010815
33.62707,73.02163
33.62707,73.032446
33.62707,73.043261
33.62707,73.054076
33.62707,73.064891
33.62707,73.075706
33.62707,73.086521
33.62707,73.097337
33.62707,73.108152
33.62707,73.118967
33.62707,73.129782
33.62707,73.140597
33.62707,73.151412
33.62707,73.162228
33.62707,73.173043
